,index,Brain,BrainRegion,BregmanRegion,Cohort,Date,VOID_PERCENTAGE,Cfos_Counts,counts_per_area,rat_ID,group,surgery,stimulus
0,0,1,ACC,2.70,1,24-11-17,0.0,546.0,866.9418863131152,1,Lesion_Novel,Lesion,Novel
1,1,1,PRL,2.70,1,24-11-17,5.120190335548402,524.0,876.9096026843148,1,Lesion_Novel,Lesion,Novel
2,2,1,PRL,2.70,1,24-11-17,1.2978915415538523,480.0,772.1686245062991,1,Lesion_Novel,Lesion,Novel
3,3,1,DPC,2.70,1,24-11-17,0.0,598.0,949.5077802476976,1,Lesion_Novel,Lesion,Novel
4,4,1,DPC,2.70,1,24-11-17,2.4377170673010737,426.0,693.3060478598505,1,Lesion_Novel,Lesion,Novel
5,5,1,IFC,2.70,1,24-11-17,0.8690896163207237,381.0,610.2576394130175,1,Lesion_Novel,Lesion,Novel
6,6,1,PRL,2.70,1,24-11-17,0.2685481445018637,295.0,469.6639413132875,1,Lesion_Novel,Lesion,Novel
7,7,1,PRL,2.70,1,24-11-17,0.0,418.0,663.7027627818355,1,Lesion_Novel,Lesion,Novel
8,8,1,ACC,2.70,1,24-11-17,0.17119260535455447,525.0,835.0274728950399,1,Lesion_Novel,Lesion,Novel
9,9,1,PRL,2.70,1,24-11-17,0.5791800445900452,316.0,504.6695314350448,1,Lesion_Novel,Lesion,Novel
10,10,1,PRL,2.70,1,24-11-17,0.35977301593358607,337.0,537.0225672084874,1,Lesion_Novel,Lesion,Novel
11,11,1,ACC,2.70,1,24-11-17,0.43418061695621535,232.0,369.97728104186996,1,Lesion_Novel,Lesion,Novel
12,12,1,PRL,2.70,1,24-11-17,1.7988650796679289,224.0,362.18366159238775,1,Lesion_Novel,Lesion,Novel
13,13,1,DPC,2.70,1,24-11-17,1.0343474208090724,309.0,495.7598256194322,1,Lesion_Novel,Lesion,Novel
14,14,1,IFC,2.70,1,24-11-17,3.768349786589171,210.0,346.4963827431464,1,Lesion_Novel,Lesion,Novel
15,15,1,ACC,2.70,1,24-11-17,1.3556901373133596,195.0,313.87730593450294,1,Lesion_Novel,Lesion,Novel
16,16,1,M2C,2.70,1,24-11-17,2.565018070417461,181.0,294.95856357437685,1,Lesion_Novel,Lesion,Novel
17,17,1,DPC,2.70,1,24-11-17,0.0,333.0,528.739282311845,1,Lesion_Novel,Lesion,Novel
18,18,1,IFC,2.70,1,24-11-17,14.207218354965127,143.0,264.65654098912427,1,Lesion_Novel,Lesion,Novel
19,19,1,PRL,2.70,1,24-11-17,1.4666201505595673,238.0,383.5225645293029,1,Lesion_Novel,Lesion,Novel
20,20,1,DPC,2.70,1,24-11-17,17.44414362676713,235.0,451.97802403172756,1,Lesion_Novel,Lesion,Novel
21,21,1,IFC,2.70,1,24-11-17,2.620395438510131,214.0,348.93385651335166,1,Lesion_Novel,Lesion,Novel
22,22,1,PRL,2.70,1,24-11-17,2.757951158148015,254.0,414.7409896857356,1,Lesion_Novel,Lesion,Novel
23,23,1,ACC,2.70,1,24-11-17,1.5177619164820582,258.0,415.96725088673196,1,Lesion_Novel,Lesion,Novel
24,24,1,M2C,2.70,1,24-11-17,2.64446085268138,101.0,164.72444435722414,1,Lesion_Novel,Lesion,Novel
25,25,1,DPC,2.70,1,24-11-17,10.604370060437013,61.0,108.34550287676959,1,Lesion_Novel,Lesion,Novel
26,29,1,PRL,2.70,1,24-11-17,19.583504252468042,134.0,264.5799912928168,1,Lesion_Novel,Lesion,Novel
27,30,1,PRL,2.70,1,24-11-17,13.421937812782087,157.0,287.93147035016335,1,Lesion_Novel,Lesion,Novel
28,32,1,DPC,2.70,1,24-11-17,10.692427598654737,94.0,167.12326550826205,1,Lesion_Novel,Lesion,Novel
29,33,1,VDG,n4.80,1,24-11-17,15.151365985724436,122.0,228.30336854115936,1,Lesion_Novel,Lesion,Novel
30,34,1,VCA3,n4.80,1,24-11-17,8.409798459773942,182.0,315.51478641972335,1,Lesion_Novel,Lesion,Novel
31,35,1,VSUB,n5.30,1,24-11-17,9.458759655271813,232.0,406.8542798816353,1,Lesion_Novel,Lesion,Novel
32,36,1,PRH,n5.30,1,24-11-17,17.713419629689838,333.0,642.5583368908833,1,Lesion_Novel,Lesion,Novel
33,37,1,DSUB,n5.30,1,24-11-17,0.1411873941777277,135.0,214.6568314861965,1,Lesion_Novel,Lesion,Novel
34,38,1,PRH,n6.30,1,24-11-17,8.65425110071911,320.0,556.2358565678138,1,Lesion_Novel,Lesion,Novel
35,39,1,TE2,n6.30,1,24-11-17,3.7170126069954526,430.0,709.1142984856104,1,Lesion_Novel,Lesion,Novel
36,41,1,TE2,n5.30,1,24-11-17,9.690159117792733,168.0,295.37351304021587,1,Lesion_Novel,Lesion,Novel
37,48,1,VOC,4.20,1,24-11-17,7.4676620997073915,107.0,183.60630313912336,1,Lesion_Novel,Lesion,Novel
38,49,1,MOC,4.20,1,24-11-17,4.095769409576958,82.0,135.76050056464123,1,Lesion_Novel,Lesion,Novel
39,50,1,DPC,2.70,1,24-11-17,12.804441162797211,111.0,202.12775717894075,1,Lesion_Novel,Lesion,Novel
40,52,1,PRL,2.70,1,24-11-17,3.295594388382936,139.0,228.22640221391933,1,Lesion_Novel,Lesion,Novel
41,53,1,DDG,n2.52,1,24-11-17,2.9734460032269103,37.0,60.54920712500459,1,Lesion_Novel,Lesion,Novel
42,56,1,DCA3,n2.52,1,24-11-17,2.041184674706705,12.0,19.450692383105775,1,Lesion_Novel,Lesion,Novel
43,58,1,DCA1,n2.52,1,24-11-17,2.8471025788278737,60.0,98.06021403796646,1,Lesion_Novel,Lesion,Novel
44,59,1,DCA3,n2.52,1,24-11-17,2.8049881040282227,67.0,109.45312588393568,1,Lesion_Novel,Lesion,Novel
45,61,1,DCA3,n2.52,1,24-11-17,12.96223370798821,68.0,124.05050011709892,1,Lesion_Novel,Lesion,Novel
46,62,1,DCA1,n2.52,1,24-11-17,5.554735143708683,17.0,28.580253478107554,1,Lesion_Novel,Lesion,Novel
47,63,1,DCA3,n2.52,1,24-11-17,12.864331227609656,21.0,38.26666986564276,1,Lesion_Novel,Lesion,Novel
48,64,1,DDG,n2.52,1,24-11-17,1.5155741515574352,30.0,48.36721051808516,1,Lesion_Novel,Lesion,Novel
49,65,1,DCA1,n2.52,1,24-11-17,2.314928760904669,9.0,14.628899474635272,1,Lesion_Novel,Lesion,Novel
50,66,1,DCA3,n2.52,1,24-11-17,0.0,21.0,33.343918704350585,1,Lesion_Novel,Lesion,Novel
51,67,1,DDG,n2.52,1,24-11-17,2.7732655126206107,11.0,17.96405306684092,1,Lesion_Novel,Lesion,Novel
52,68,1,DCA1,n2.52,1,24-11-17,2.14127492000989,9.0,14.602939964333482,1,Lesion_Novel,Lesion,Novel
53,69,1,DCA3,n2.52,1,24-11-17,1.1217764651188349,27.0,43.35712261735352,1,Lesion_Novel,Lesion,Novel
54,71,1,IDG,n4.80,1,24-11-17,3.3071167185537353,371.0,609.2236337555024,1,Lesion_Novel,Lesion,Novel
55,72,1,ICA1,n4.80,1,24-11-17,0.8171208346734045,339.0,542.7006361956334,1,Lesion_Novel,Lesion,Novel
56,73,1,ICA3,n4.80,1,24-11-17,1.0678717245664975,330.0,529.6316520102525,1,Lesion_Novel,Lesion,Novel
57,74,1,VDG,n4.80,1,24-11-17,0.0,174.0,276.27818355033344,1,Lesion_Novel,Lesion,Novel
58,75,1,VCA3,n4.80,1,24-11-17,0.8784457805711757,157.0,251.4947323207659,1,Lesion_Novel,Lesion,Novel
59,76,1,VCA1,n4.80,1,24-11-17,0.28674422415206313,201.0,320.06670897162246,1,Lesion_Novel,Lesion,Novel
60,77,1,VCA1,n4.80,1,24-11-17,0.0,161.0,255.63671006668784,1,Lesion_Novel,Lesion,Novel
61,78,1,V2C,n4.80,1,24-11-17,1.5393924196915818,694.0,1119.1654713255487,1,Lesion_Novel,Lesion,Novel
62,79,1,DCA1,n2.52,1,24-11-17,2.4538518336204613,270.0,439.49200891824904,1,Lesion_Novel,Lesion,Novel
63,80,1,DDG,n2.52,1,24-11-17,3.8376131484672005,260.0,429.3045162349063,1,Lesion_Novel,Lesion,Novel
64,81,1,ICA1,n4.80,1,24-11-17,15.8796220438034,17.0,32.0881773831946,1,Lesion_Novel,Lesion,Novel
65,82,1,DDG,n2.52,1,24-11-17,6.221729975114269,204.0,345.40235498268544,1,Lesion_Novel,Lesion,Novel
66,83,1,DCA1,n2.52,1,24-11-17,2.358410588782227,266.0,432.557792366208,1,Lesion_Novel,Lesion,Novel
67,84,1,DCA3,n2.52,1,24-11-17,5.854458938387267,345.0,581.8575622019148,1,Lesion_Novel,Lesion,Novel
68,90,1,V2C,n4.80,1,24-11-17,0.9393715645253736,58.0,92.96602424655302,1,Lesion_Novel,Lesion,Novel
69,92,1,DDG,n2.52,1,24-11-17,4.548363278365735,200.0,332.6932270881101,1,Lesion_Novel,Lesion,Novel
70,93,1,DCA1,n2.52,1,24-11-17,1.0443842809090231,193.0,309.68074800264895,1,Lesion_Novel,Lesion,Novel
71,94,1,DCA3,n2.52,1,24-11-17,4.1135449995898,128.0,211.95811601378975,1,Lesion_Novel,Lesion,Novel
72,95,1,DCA1,n2.52,1,24-11-17,3.1424508436569116,84.0,137.70292143373703,1,Lesion_Novel,Lesion,Novel
73,96,1,DDG,n2.52,1,24-11-17,2.315749172751371,116.0,188.55184345524455,1,Lesion_Novel,Lesion,Novel
74,97,1,DCA3,n2.52,1,24-11-17,0.6207782973719498,82.0,131.01336605535423,1,Lesion_Novel,Lesion,Novel
75,98,1,VOC,4.20,1,24-11-17,3.4857174067398313,180.0,296.12717391303556,1,Lesion_Novel,Lesion,Novel
76,99,1,PRL,4.20,1,24-11-17,0.22393358457587992,149.0,237.11402016050775,1,Lesion_Novel,Lesion,Novel
77,100,1,M2C,4.20,1,24-11-17,3.191326669943777,237.0,388.71510859404793,1,Lesion_Novel,Lesion,Novel
78,101,1,DPC,2.70,1,24-11-17,0.5283452293051023,233.0,371.9237584876545,1,Lesion_Novel,Lesion,Novel
79,102,1,IFC,2.70,1,24-11-17,0.0,288.0,457.28802794537944,1,Lesion_Novel,Lesion,Novel
80,103,1,PRL,2.70,1,24-11-17,2.398063828041688,353.0,574.2666768168493,1,Lesion_Novel,Lesion,Novel
81,104,1,PRL,2.70,1,24-11-17,7.111056416988089,243.0,415.3742724332997,1,Lesion_Novel,Lesion,Novel
82,105,1,ACC,2.70,1,24-11-17,14.807886892553936,244.0,454.7657818310882,1,Lesion_Novel,Lesion,Novel
