counts,regions,group,hemisphere,ID,global_id,region_idx,hemisphere_idx,group_idx,animal_idx
0,VAL,het,L,1,1 het L,44,1,1,1
2,VM,het,L,1,1 het L,45,1,1,1
81,VPL,het,L,1,1 het L,47,1,1,1
162,VPM,het,L,1,1 het L,48,1,1,1
14,VPMpc,het,L,1,1 het L,49,1,1,1
0,SPFm,het,L,1,1 het L,38,1,1,1
6,SPFp,het,L,1,1 het L,39,1,1,1
35,PP,het,L,1,1 het L,26,1,1,1
11,MGd,het,L,1,1 het L,15,1,1,1
45,MGv,het,L,1,1 het L,17,1,1,1
39,MGm,het,L,1,1 het L,16,1,1,1
1229,LGd,het,L,1,1 het L,8,1,1,1
362,LP,het,L,1,1 het L,13,1,1,1
120,PO,het,L,1,1 het L,24,1,1,1
23,POL,het,L,1,1 het L,25,1,1,1
8,SGN,het,L,1,1 het L,37,1,1,1
23,LD,het,L,1,1 het L,7,1,1,1
15,MD,het,L,1,1 het L,14,1,1,1
0,PR,het,L,1,1 het L,27,1,1,1
7,CL,het,L,1,1 het L,3,1,1,1
11,RT,het,L,1,1 het L,34,1,1,1
29,IGL,het,L,1,1 het L,6,1,1,1
251,LGv,het,L,1,1 het L,9,1,1,1
16,MH,het,L,1,1 het L,18,1,1,1
2,LH,het,L,1,1 het L,10,1,1,1
17,PVH,het,L,1,1 het L,29,1,1,1
36,PVa,het,L,1,1 het L,28,1,1,1
396,PVi,het,L,1,1 het L,31,1,1,1
1118,ARH,het,L,1,1 het L,2,1,1,1
387,DMH,het,L,1,1 het L,4,1,1,1
794,PVp,het,L,1,1 het L,32,1,1,1
102,SBPV,het,L,1,1 het L,35,1,1,1
34,SCH,het,L,1,1 het L,36,1,1,1
361,AHN,het,L,1,1 het L,1,1,1,1
1,LM,het,L,1,1 het L,12,1,1,1
5,MMme,het,L,1,1 het L,19,1,1,1
6,SUM,het,L,1,1 het L,40,1,1,1
770,TMd,het,L,1,1 het L,41,1,1,1
70,TMv,het,L,1,1 het L,42,1,1,1
866,MPN,het,L,1,1 het L,20,1,1,1
68,PMd,het,L,1,1 het L,22,1,1,1
823,PMv,het,L,1,1 het L,23,1,1,1
1,PVHd,het,L,1,1 het L,30,1,1,1
1453,VMH,het,L,1,1 het L,46,1,1,1
138,PH,het,L,1,1 het L,21,1,1,1
4,LHA,het,L,1,1 het L,11,1,1,1
7,RCH,het,L,1,1 het L,33,1,1,1
346,TU,het,L,1,1 het L,43,1,1,1
28,ZI,het,L,1,1 het L,50,1,1,1
6,FF,het,L,1,1 het L,5,1,1,1
8,VAL,het,R,1,1 het R,44,2,1,2
5,VM,het,R,1,1 het R,45,2,1,2
62,VPL,het,R,1,1 het R,47,2,1,2
255,VPM,het,R,1,1 het R,48,2,1,2
19,VPMpc,het,R,1,1 het R,49,2,1,2
0,SPFm,het,R,1,1 het R,38,2,1,2
2,SPFp,het,R,1,1 het R,39,2,1,2
