subject,race0W1B,object0NG1G,conditionRaceObj,conditionRace,rt,resp0DS1S,diffusionRT,ybin,lowerLim,upperLim
1,1,1,4,2,464,1,0.464,1,-0.851,0.851
1,1,0,2,2,658,0,-0.658,1,-0.851,0.851
1,1,1,4,2,776,1,0.776,1,-0.851,0.851
1,0,1,3,1,646,1,0.646,1,-0.851,0.851
1,0,0,1,1,624,0,-0.624,1,-0.851,0.851
1,0,1,3,1,518,1,0.518,1,-0.851,0.851
1,1,0,2,2,678,0,-0.678,1,-0.851,0.851
1,0,1,3,1,511,1,0.511,1,-0.851,0.851
1,0,0,1,1,602,1,0.602,1,-0.851,0.851
1,1,1,4,2,808,1,0.808,1,-0.851,0.851
1,1,1,4,2,644,1,0.644,1,-0.851,0.851
1,0,1,3,1,677,1,0.677,1,-0.851,0.851
1,1,1,4,2,549,1,0.549,1,-0.851,0.851
1,1,1,4,2,631,1,0.631,1,-0.851,0.851
1,0,1,3,1,611,1,0.611,1,-0.851,0.851
1,1,0,2,2,697,0,-0.697,1,-0.851,0.851
1,0,0,1,1,NaN,NaN,NaN,0,-0.851,0.851
1,0,1,3,1,607,1,0.607,1,-0.851,0.851
1,1,1,4,2,618,1,0.618,1,-0.851,0.851
1,1,0,2,2,635,0,-0.635,1,-0.851,0.851
1,1,1,4,2,566,1,0.566,1,-0.851,0.851
1,0,0,1,1,615,0,-0.615,1,-0.851,0.851
1,0,1,3,1,724,1,0.724,1,-0.851,0.851
1,0,0,1,1,672,0,-0.672,1,-0.851,0.851
1,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
1,1,0,2,2,669,0,-0.669,1,-0.851,0.851
1,0,1,3,1,644,1,0.644,1,-0.851,0.851
1,0,0,1,1,642,0,-0.642,1,-0.851,0.851
1,1,1,4,2,682,1,0.682,1,-0.851,0.851
1,0,0,1,1,699,0,-0.699,1,-0.851,0.851
1,0,0,1,1,731,0,-0.731,1,-0.851,0.851
1,0,0,1,1,566,0,-0.566,1,-0.851,0.851
1,1,0,2,2,551,0,-0.551,1,-0.851,0.851
1,0,0,1,1,562,0,-0.562,1,-0.851,0.851
1,1,0,2,2,632,0,-0.632,1,-0.851,0.851
1,0,1,3,1,597,1,0.597,1,-0.851,0.851
1,0,1,3,1,749,1,0.749,1,-0.851,0.851
1,1,1,4,2,641,1,0.641,1,-0.851,0.851
1,1,1,4,2,543,1,0.543,1,-0.851,0.851
1,0,0,1,1,581,1,0.581,1,-0.851,0.851
1,0,0,1,1,719,0,-0.719,1,-0.851,0.851
1,1,0,2,2,696,0,-0.696,1,-0.851,0.851
1,1,1,4,2,502,1,0.502,1,-0.851,0.851
1,1,0,2,2,591,0,-0.591,1,-0.851,0.851
1,1,1,4,2,639,1,0.639,1,-0.851,0.851
1,0,1,3,1,845,1,0.845,1,-0.851,0.851
1,1,0,2,2,724,0,-0.724,1,-0.851,0.851
1,0,0,1,1,624,0,-0.624,1,-0.851,0.851
1,1,1,4,2,590,1,0.59,1,-0.851,0.851
1,0,0,1,1,720,0,-0.72,1,-0.851,0.851
1,0,0,1,1,709,0,-0.709,1,-0.851,0.851
1,0,1,3,1,594,1,0.594,1,-0.851,0.851
1,1,0,2,2,740,0,-0.74,1,-0.851,0.851
1,1,1,4,2,777,1,0.777,1,-0.851,0.851
1,0,0,1,1,616,0,-0.616,1,-0.851,0.851
1,0,0,1,1,803,0,-0.803,1,-0.851,0.851
1,0,0,1,1,637,0,-0.637,1,-0.851,0.851
1,0,1,3,1,719,1,0.719,1,-0.851,0.851
1,0,0,1,1,675,0,-0.675,1,-0.851,0.851
1,0,1,3,1,NaN,NaN,NaN,2,-0.851,0.851
1,0,1,3,1,545,1,0.545,1,-0.851,0.851
1,1,1,4,2,493,1,0.493,1,-0.851,0.851
1,0,0,1,1,689,0,-0.689,1,-0.851,0.851
1,1,1,4,2,646,1,0.646,1,-0.851,0.851
1,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
1,1,0,2,2,712,0,-0.712,1,-0.851,0.851
1,0,1,3,1,713,1,0.713,1,-0.851,0.851
1,1,0,2,2,614,0,-0.614,1,-0.851,0.851
1,1,0,2,2,770,0,-0.77,1,-0.851,0.851
1,1,1,4,2,633,1,0.633,1,-0.851,0.851
1,1,0,2,2,781,0,-0.781,1,-0.851,0.851
1,0,0,1,1,643,0,-0.643,1,-0.851,0.851
1,1,1,4,2,614,1,0.614,1,-0.851,0.851
1,0,0,1,1,671,0,-0.671,1,-0.851,0.851
1,1,0,2,2,756,0,-0.756,1,-0.851,0.851
1,0,0,1,1,780,0,-0.78,1,-0.851,0.851
1,1,1,4,2,457,1,0.457,1,-0.851,0.851
1,0,1,3,1,478,1,0.478,1,-0.851,0.851
1,1,0,2,2,603,0,-0.603,1,-0.851,0.851
1,1,0,2,2,839,0,-0.839,1,-0.851,0.851
1,1,0,2,2,647,0,-0.647,1,-0.851,0.851
1,0,1,3,1,765,1,0.765,1,-0.851,0.851
1,0,1,3,1,687,1,0.687,1,-0.851,0.851
1,1,0,2,2,753,0,-0.753,1,-0.851,0.851
1,1,1,4,2,717,1,0.717,1,-0.851,0.851
1,1,0,2,2,583,0,-0.583,1,-0.851,0.851
1,1,1,4,2,768,1,0.768,1,-0.851,0.851
1,1,1,4,2,801,1,0.801,1,-0.851,0.851
1,0,1,3,1,521,1,0.521,1,-0.851,0.851
1,0,1,3,1,492,1,0.492,1,-0.851,0.851
1,1,1,4,2,717,1,0.717,1,-0.851,0.851
1,0,0,1,1,710,0,-0.71,1,-0.851,0.851
1,0,1,3,1,745,1,0.745,1,-0.851,0.851
1,1,0,2,2,654,0,-0.654,1,-0.851,0.851
1,0,1,3,1,586,1,0.586,1,-0.851,0.851
1,1,0,2,2,744,0,-0.744,1,-0.851,0.851
1,1,1,4,2,NaN,NaN,NaN,2,-0.851,0.851
1,0,0,1,1,607,0,-0.607,1,-0.851,0.851
1,0,1,3,1,699,1,0.699,1,-0.851,0.851
1,0,1,3,1,627,1,0.627,1,-0.851,0.851
2,1,0,2,2,624,0,-0.624,1,-0.851,0.851
2,0,0,1,1,507,0,-0.507,1,-0.851,0.851
2,0,0,1,1,583,0,-0.583,1,-0.851,0.851
2,0,0,1,1,638,0,-0.638,1,-0.851,0.851
2,1,0,2,2,595,0,-0.595,1,-0.851,0.851
2,0,0,1,1,783,0,-0.783,1,-0.851,0.851
2,0,1,3,1,579,1,0.579,1,-0.851,0.851
2,0,1,3,1,544,1,0.544,1,-0.851,0.851
2,1,1,4,2,783,1,0.783,1,-0.851,0.851
2,1,0,2,2,609,0,-0.609,1,-0.851,0.851
2,0,0,1,1,596,1,0.596,1,-0.851,0.851
2,1,1,4,2,698,1,0.698,1,-0.851,0.851
2,1,0,2,2,786,0,-0.786,1,-0.851,0.851
2,1,0,2,2,693,0,-0.693,1,-0.851,0.851
2,0,1,3,1,706,1,0.706,1,-0.851,0.851
2,1,1,4,2,526,1,0.526,1,-0.851,0.851
2,1,0,2,2,812,0,-0.812,1,-0.851,0.851
2,1,1,4,2,682,1,0.682,1,-0.851,0.851
2,1,0,2,2,687,0,-0.687,1,-0.851,0.851
2,0,0,1,1,600,0,-0.6,1,-0.851,0.851
2,1,1,4,2,503,1,0.503,1,-0.851,0.851
2,1,1,4,2,612,1,0.612,1,-0.851,0.851
2,0,1,3,1,589,1,0.589,1,-0.851,0.851
2,0,0,1,1,674,0,-0.674,1,-0.851,0.851
2,1,1,4,2,638,1,0.638,1,-0.851,0.851
2,0,0,1,1,663,0,-0.663,1,-0.851,0.851
2,1,0,2,2,668,0,-0.668,1,-0.851,0.851
2,0,0,1,1,628,0,-0.628,1,-0.851,0.851
2,0,1,3,1,621,1,0.621,1,-0.851,0.851
2,1,0,2,2,646,0,-0.646,1,-0.851,0.851
2,1,1,4,2,608,1,0.608,1,-0.851,0.851
2,0,0,1,1,608,0,-0.608,1,-0.851,0.851
2,0,1,3,1,687,1,0.687,1,-0.851,0.851
2,1,1,4,2,492,1,0.492,1,-0.851,0.851
2,1,0,2,2,645,0,-0.645,1,-0.851,0.851
2,0,1,3,1,710,1,0.71,1,-0.851,0.851
2,0,0,1,1,579,0,-0.579,1,-0.851,0.851
2,1,0,2,2,527,0,-0.527,1,-0.851,0.851
2,0,1,3,1,563,0,-0.563,1,-0.851,0.851
2,1,0,2,2,843,0,-0.843,1,-0.851,0.851
2,1,0,2,2,829,0,-0.829,1,-0.851,0.851
2,0,1,3,1,619,1,0.619,1,-0.851,0.851
2,1,1,4,2,645,1,0.645,1,-0.851,0.851
2,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
2,1,0,2,2,669,0,-0.669,1,-0.851,0.851
2,0,0,1,1,608,0,-0.608,1,-0.851,0.851
2,0,1,3,1,578,1,0.578,1,-0.851,0.851
2,1,1,4,2,667,1,0.667,1,-0.851,0.851
2,0,0,1,1,588,0,-0.588,1,-0.851,0.851
2,1,1,4,2,567,1,0.567,1,-0.851,0.851
2,1,1,4,2,768,0,-0.768,1,-0.851,0.851
2,0,0,1,1,764,0,-0.764,1,-0.851,0.851
2,0,1,3,1,670,1,0.67,1,-0.851,0.851
2,1,0,2,2,671,0,-0.671,1,-0.851,0.851
2,1,1,4,2,538,1,0.538,1,-0.851,0.851
2,0,0,1,1,506,0,-0.506,1,-0.851,0.851
2,1,0,2,2,584,0,-0.584,1,-0.851,0.851
2,0,1,3,1,496,1,0.496,1,-0.851,0.851
2,1,1,4,2,524,1,0.524,1,-0.851,0.851
2,1,1,4,2,560,1,0.56,1,-0.851,0.851
2,1,1,4,2,495,1,0.495,1,-0.851,0.851
2,1,0,2,2,732,0,-0.732,1,-0.851,0.851
2,0,1,3,1,695,1,0.695,1,-0.851,0.851
2,1,0,2,2,717,0,-0.717,1,-0.851,0.851
2,1,0,2,2,562,0,-0.562,1,-0.851,0.851
2,1,1,4,2,561,1,0.561,1,-0.851,0.851
2,0,1,3,1,423,0,-0.423,1,-0.851,0.851
2,1,1,4,2,522,1,0.522,1,-0.851,0.851
2,1,1,4,2,538,1,0.538,1,-0.851,0.851
2,0,1,3,1,567,1,0.567,1,-0.851,0.851
2,1,0,2,2,607,0,-0.607,1,-0.851,0.851
2,0,0,1,1,563,0,-0.563,1,-0.851,0.851
2,0,1,3,1,520,0,-0.52,1,-0.851,0.851
2,0,0,1,1,723,0,-0.723,1,-0.851,0.851
2,1,1,4,2,492,1,0.492,1,-0.851,0.851
2,1,0,2,2,607,0,-0.607,1,-0.851,0.851
2,1,0,2,2,564,0,-0.564,1,-0.851,0.851
2,0,1,3,1,426,1,0.426,1,-0.851,0.851
2,1,1,4,2,577,1,0.577,1,-0.851,0.851
2,0,1,3,1,479,1,0.479,1,-0.851,0.851
2,1,1,4,2,477,1,0.477,1,-0.851,0.851
2,0,0,1,1,623,1,0.623,1,-0.851,0.851
2,1,1,4,2,690,1,0.69,1,-0.851,0.851
2,1,0,2,2,709,0,-0.709,1,-0.851,0.851
2,0,0,1,1,689,0,-0.689,1,-0.851,0.851
2,1,1,4,2,724,1,0.724,1,-0.851,0.851
2,0,0,1,1,579,0,-0.579,1,-0.851,0.851
2,1,0,2,2,711,0,-0.711,1,-0.851,0.851
2,0,1,3,1,748,1,0.748,1,-0.851,0.851
2,0,0,1,1,563,0,-0.563,1,-0.851,0.851
2,0,0,1,1,595,0,-0.595,1,-0.851,0.851
