Subject,Context1Safe2Danger,Race012B,Object0NG1G,RaceObject,Race1W2B,RT,Resp0NS1Sh,DiffusionRT,ybin,lower,upper
1,1,0,0,1,1,612,0,-0.612,1,-0.631,0.631
1,1,1,1,4,2,507,1,0.507,1,-0.631,0.631
1,1,1,1,4,2,522,1,0.522,1,-0.631,0.631
1,1,0,1,3,1,425,1,0.425,1,-0.631,0.631
1,1,0,0,1,1,569,1,0.569,1,-0.631,0.631
1,1,1,1,4,2,415,0,-0.415,1,-0.631,0.631
1,1,0,0,1,1,629,0,-0.629,1,-0.631,0.631
1,1,1,1,4,2,412,1,0.412,1,-0.631,0.631
1,1,1,0,2,2,589,1,0.589,1,-0.631,0.631
1,1,0,1,3,1,519,1,0.519,1,-0.631,0.631
1,1,0,1,3,1,537,1,0.537,1,-0.631,0.631
1,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
1,1,1,0,2,2,495,0,-0.495,1,-0.631,0.631
1,1,0,0,1,1,493,0,-0.493,1,-0.631,0.631
1,1,0,0,1,1,561,0,-0.561,1,-0.631,0.631
1,1,0,1,3,1,493,0,-0.493,1,-0.631,0.631
1,1,1,1,4,2,510,1,0.51,1,-0.631,0.631
1,1,0,0,1,1,491,0,-0.491,1,-0.631,0.631
1,1,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
1,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
1,1,1,1,4,2,390,1,0.39,1,-0.631,0.631
1,1,0,0,1,1,NaN,NaN,NaN,2,-0.631,0.631
1,1,1,0,2,2,583,0,-0.583,1,-0.631,0.631
1,1,0,0,1,1,468,0,-0.468,1,-0.631,0.631
1,1,1,0,2,2,611,0,-0.611,1,-0.631,0.631
1,1,1,0,2,2,451,0,-0.451,1,-0.631,0.631
1,1,1,0,2,2,512,0,-0.512,1,-0.631,0.631
1,1,1,1,4,2,386,1,0.386,1,-0.631,0.631
1,1,0,0,1,1,485,0,-0.485,1,-0.631,0.631
