Village,hhid,dogid,sex,birthdate,deathdate,deathcause,encdate,alive,dead,age,pregnant,pups,exitdate,bcs2,year,roundyrs,lagvacc,deathage2,_st,_d,_t,_t0,sch1,sch2,sch3,sch4,sch5,sch6,sch7,sch8,sch9,sch10,sch11,sch12,sch13,sch14,sch15,sch16,sch17,sca1,sca2,sca3,sca4,sca5,sca6,sca7,sca8,sca9,sca10,sca11,sca12,sca13,sca14,sca15,sca16,sca17
Buyubi,Bhh001,b001,male,8 /15/2009,15/04/2012,sick,8 /18/2010,1,0,12,0,0,15/04/2012,4,2010,0,0,32.46666718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh001,b001,male,8 /15/2009,15/04/2012,sick,8 /16/2011,1,0,24,0,0,15/04/2012,2,2011,1,0,32.46666718,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh001,b001,male,8 /15/2009,15/04/2012,sick,8 /16/2012,0,1,,0,0,15/04/2012,,2012,2,0,32.46666718,1,1,2,1,0,-0.210935848,-0.283950338,-0.264674466,0.393734296,0,-0.400067242,-0.287834873,-0.137020198,0,-0.16303237,-0.138350344,0.833613796,-0.099807834,-0.102572805,-0.075389839,-0.105913187,0,-2.014498242,-3.003708961,-2.533088776,1.151571292,0,-2.982248974,-3.463579502,-3.480575755,0,-1.155529857,-1.589230635,4.05129347,-2.242862692,-1.824816229,-2.091548768,-1.831918863
Buyubi,Bhh001,b001,male,8 /15/2009,15/04/2012,sick,8 /28/2013,0,1,,0,0,15/04/2012,,2013,3,0,32.46666718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh002,b002,male,8 /15/2009,15/02/2012,sick,8 /18/2010,1,0,12,0,0,15/02/2012,3,2010,0,0,30.46666718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh002,b002,male,8 /15/2009,15/02/2012,sick,8 /16/2011,1,0,24,0,0,15/02/2012,1,2011,1,0,30.46666718,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh002,b002,male,8 /15/2009,15/02/2012,sick,8 /16/2012,0,1,,0,0,15/02/2012,,2012,2,0,30.46666718,1,1,2,1,0,-0.210935848,-0.283950338,-0.264674466,0.393734296,0,-0.400067242,-0.287834873,-0.137020198,0,-0.16303237,-0.138350344,0.833613796,-0.099807834,-0.102572805,-0.075389839,-0.105913187,0,-2.014498242,-3.003708961,-2.533088776,1.151571292,0,-2.982248974,-3.463579502,-3.480575755,0,-1.155529857,-1.589230635,4.05129347,-2.242862692,-1.824816229,-2.091548768,-1.831918863
Buyubi,Bhh002,b002,male,8 /15/2009,15/02/2012,sick,8 /28/2013,0,1,,0,0,15/02/2012,,2013,3,0,30.46666718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh003,b003,male,8 /15/2009,,,8 /18/2010,1,0,12,0,0,28/08/2013,5,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh003,b003,male,8 /15/2009,,,8 /16/2011,1,0,24,0,0,28/08/2013,5,2011,1,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh003,b003,male,8 /15/2009,,,8 /16/2012,1,0,36,0,0,28/08/2013,4,2012,2,0,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh003,b003,male,8 /15/2009,,,8 /28/2013,1,0,48,0,0,28/08/2013,3,2013,3,0,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b004,female,2 /15/2008,15/10/2012,road kill,8 /18/2010,1,0,30,0,1,15/10/2012,5,2010,0,0,56.79999924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b004,female,2 /15/2008,15/10/2012,road kill,8 /16/2011,1,0,42,0,1,15/10/2012,5,2011,1,0,56.79999924,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b004,female,2 /15/2008,15/10/2012,road kill,8 /16/2012,1,0,54,0,1,15/10/2012,3,2012,2,0,56.79999924,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubi,Bhh004,b004,female,2 /15/2008,15/10/2012,road kill,8 /28/2013,0,1,,0,0,15/10/2012,,2013,3,0,56.79999924,1,1,3,2,0,-0.200720573,-0.276526989,-0.259540437,-0.625506825,0,0.602245672,-0.251382785,-0.129139671,0,-0.163762852,-0.102009493,-0.197514361,0.868633369,-0.143506066,-0.0722459,-0.10822485,0,-2.004318725,-2.308916468,-2.003060947,-1.697704953,0,0.635813586,-0.609882124,-0.893713372,0,-0.77701439,-1.467966328,-2.350096596,8.491233109,-2.319532104,-1.560547519,-1.4032168
Buyubi,Bhh004,b005,male,5 /15/2010,,,8 /18/2010,1,0,3,0,0,28/08/2013,3,2010,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
