rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,0.25,0.25,1,0,0.658084
1,0,0.25,1,0,0.6487
1,4,0.25,0,1,0.554546
1,2.91,0.25,0,1,0.640977
1,2.48,0.25,1,0,0.738219
1,1.75,0.25,1,0,0.736896
1,3.41,0.25,0,1,0.543432
1,1.32,0.25,1,0,0.756058
1,2.12,0.25,1,0,0.642892
1,0.25,0.25,1,0,0.716672
1,2.91,0.25,0,1,0.852179
1,2.48,0.25,0,1,0.619159
1,1.32,0.25,1,0,0.689804
1,0.82,0.25,1,0,0.594429
1,3.41,0.25,0,1,0.55702
1,2.91,0.82,0,1,0.650732
1,2.12,0.82,0,1,0.618086
1,2.48,0.82,1,0,0.710731
1,0.82,0.82,1,0,0.542056
1,1.32,0.82,0,1,0.593092
1,4,0.82,0,1,0.56568
1,0.25,0.82,1,0,0.517053
1,2.48,0.82,0,1,0.736166
1,1.75,0.82,1,0,0.654962
1,3.41,0.82,1,0,0.843459
1,0,0.82,1,0,0.733629
1,0.82,0.82,1,0,0.586376
1,2.12,1.32,1,0,0.695364
1,1.75,1.32,1,0,0.55584
1,1.32,1.32,1,0,0.579045
1,2.91,1.32,1,0,0.850219
1,2.48,1.32,1,0,0.898561
1,3.41,1.32,0,1,0.573773
1,2.12,1.32,0,1,0.622922
1,4,1.32,0,1,0.551652
1,3.41,1.32,0,1,0.597485
1,2.91,1.32,0,1,0.779412
1,2.48,1.32,0,1,0.535827
1,0.25,1.32,1,0,0.547154
1,1.75,1.32,0,1,0.742499
1,0.82,1.75,1,0,0.597982
1,1.32,1.75,0,1,0.662647
1,0,1.75,1,0,0.529906
1,2.48,1.75,0,1,0.652593
1,4,1.75,1,0,0.667795
1,0.25,1.75,0,1,0.596176
1,2.91,1.75,0,1,0.562188
1,2.12,1.75,1,0,0.688054
1,0.25,1.75,1,0,0.530299
1,2.12,1.75,1,0,0.587077
1,3.41,1.75,0,1,0.642091
1,2.48,1.75,0,1,0.69929
1,4,1.75,0,1,0.582402
