rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,2.48,-1,0,1,0.614151
1,4,-1,0,1,0.704281
1,1.75,-1,0,1,0.809399
1,3.41,-1,0,1,0.556655
1,2.12,-1,0,1,1.048696
1,4,-1,0,1,0.632738
1,1.75,-1,0,1,0.912627
1,2.48,-1,0,1,0.897227
1,4,-1,0,1,0.711828
1,0.25,-1,1,0,0.529176
1,1.32,-1,1,0,0.647811
1,1.75,-1,0,1,0.884499
1,4,-1,0,1,0.691083
1,2.12,-1,0,1,0.624316
1,3.41,-1,0,1,0.838277
1,2.12,-1,1,0,0.590277
1,3.41,-1,0,1,0.67026
1,1.75,-1,0,1,1.550902
1,4,-1,0,1,0.532045
1,1.32,-1,1,0,0.604759
1,3.41,-1,0,1,0.744013
1,1.75,-1,0,1,1.158589
1,2.48,-1,0,1,0.962616
1,1.32,-1,0,1,0.980382
1,2.91,-1,0,1,0.650947
1,2.48,-1,0,1,0.868341
1,0.82,-1,0,1,1.34226
1,1.32,-1,1,0,0.758958
1,3.41,-1,0,1,0.63292
1,4,-1,0,1,0.747568
1,4,-1,0,1,0.538899
1,2.91,-1,0,1,0.585489
1,2.91,-1,0,1,0.634014
1,0.25,-1,1,0,0.530772
1,1.75,-1,0,1,0.610732
1,0.25,-1,1,0,1.380059
1,2.12,-1,0,1,0.833257
1,1.75,-1,0,1,0.657268
1,1.75,-1,0,1,0.695833
1,2.48,-1,0,1,0.858545
1,3.41,-1,0,1,0.522487
1,4,-1,0,1,0.590479
1,0.25,-1,1,0,0.550375
1,1.75,-1,0,1,0.523103
1,0.25,-1,1,0,0.94294
1,2.12,-1,0,1,0.619044
1,1.32,-1,1,0,0.929086
1,4,-1,0,1,0.861098
1,1.75,-1,0,1,0.838405
1,2.12,-1,1,0,1.213557
1,1.75,-1,0,1,1.262821
1,2.48,-1,0,1,0.859403
1,3.41,-1,0,1,0.990176
1,1.32,-1,1,0,0.792704
1,1.75,-1,1,0,0.979188
1,0.25,-1,1,0,0.735868
1,3.41,-1,0,1,0.709893
1,2.12,-1,0,1,0.76449
1,0.82,-1,1,0,0.835121
1,0.82,-1,1,0,1.203758
1,1.32,-1,1,0,0.828935
1,0.82,-1,1,0,0.766884
1,0.25,-1,1,0,0.585666
1,3.41,-1,0,1,0.64029
1,2.91,-1,0,1,0.564262
1,2.91,-1,0,1,0.723551
1,0.25,-1,1,0,0.711612
1,1.32,-1,1,0,0.658855
1,0.82,-1,1,0,0.604698
1,2.91,-1,0,1,0.721573
1,3.41,-1,0,1,0.956066
1,2.48,-1,0,1,0.750142
1,2.12,-1,0,1,0.590139
1,2.91,-1,0,1,0.988397
1,1.32,-1,0,1,0.773859
1,3.41,-1,1,0,0.882536
1,4,-1,0,1,0.516431
1,3.41,-1,0,1,0.87575
1,0.82,-1,1,0,0.687122
1,2.91,-1,0,1,0.903097
1,1.75,-1,1,0,0.970327
1,4,-1,0,1,1.691657
1,4,-1,0,1,0.861554
1,0.25,-1,1,0,0.628865
1,3.41,-1,0,1,0.956288
1,3.41,-1,0,1,0.880883
1,1.75,-1,1,0,0.548767
1,3.41,-1,0,1,0.848077
1,1.32,-1,0,1,0.674742
1,0.82,-1,1,0,0.662089
1,2.91,-1,0,1,0.647342
1,3.41,-1,0,1,0.649358
1,0.25,-1,1,0,0.925839
1,1.32,-1,0,1,0.672487
1,4,-1,0,1,1.095721
1,0.82,-1,1,0,0.803557
1,2.12,-1,0,1,0.742139
1,2.48,-1,0,1,0.78221
1,1.75,-1,1,0,0.988361
1,2.12,-1,1,0,0.643371
1,2.12,-1,0,1,0.914744
1,3.41,-1,0,1,0.606137
1,2.12,-1,0,1,0.751435
1,0.25,-1,1,0,0.742733
1,0.25,-1,1,0,0.636675
1,1.75,-1,1,0,0.658567
1,4,-1,0,1,0.912553
1,0.25,-1,0,1,0.633141
1,3.41,-1,0,1,1.036511
1,3.41,-1,0,1,0.785095
1,0.82,-1,1,0,0.679786
1,0.82,-1,0,1,0.805094
1,2.48,-1,0,1,1.149671
1,2.48,-1,0,1,0.607689
1,1.75,-1,1,0,0.730413
1,0.82,-1,1,0,0.788444
1,2.91,-1,0,1,0.952341
1,2.48,-1,1,0,0.636291
1,2.12,-1,1,0,0.92955
1,0.82,-1,1,0,0.554185
1,1.75,-1,1,0,0.590765
1,2.91,-1,0,1,0.780486
1,2.48,-1,0,1,1.084944
1,1.32,-1,0,1,0.534857
1,3.41,-1,0,1,0.997574
1,2.12,-1,0,1,0.835965
1,1.32,-1,1,0,0.748919
1,0.25,-1,1,0,0.73137
1,2.91,-1,0,1,0.863338
1,4,-1,0,1,0.529724
1,1.32,-1,0,1,0.782868
1,2.12,-1,1,0,1.071533
1,3.41,-1,0,1,0.788195
1,4,-1,0,1,0.686422
1,1.75,-1,1,0,0.74618
1,0.82,-1,1,0,0.760148
1,1.75,-1,0,1,0.688855
1,1.32,-1,1,0,0.625464
1,2.12,-1,1,0,0.557897
1,2.91,-1,0,1,0.897979
1,3.41,-1,0,1,0.544516
1,3.41,-1,0,1,0.638543
1,1.75,-1,0,1,1.021089
1,2.12,-1,0,1,0.651666
1,2.12,-1,1,0,0.674437
1,1.75,-1,0,1,0.797501
1,2.48,-1,0,1,0.623528
1,2.12,-1,0,1,0.700693
1,0.82,-1,1,0,0.599406
1,3.41,-1,0,1,0.6333
1,0.82,-1,0,1,0.517849
1,1.32,-1,1,0,0.559888
1,3.41,-1,0,1,0.591959
1,0.25,-1,1,0,0.532644
1,1.75,-1,0,1,0.842658
1,4,-1,1,0,0.961916
1,2.12,-1,1,0,1.015655
1,2.12,-1,0,1,1.234372
1,2.48,-1,0,1,1.7443
1,2.91,-1,0,1,0.608878
1,0.25,-1,1,0,0.550164
1,1.32,-1,1,0,0.69664
1,1.75,-1,1,0,0.943468
1,3.41,-1,0,1,0.984067
1,3.41,-1,0,1,0.578026
1,1.32,-1,1,0,1.062499
1,0.82,-1,1,0,0.694507
1,4,-1,0,1,0.62576
1,3.41,-1,0,1,0.853585
1,4,-1,0,1,0.808939
1,3.41,-1,0,1,0.604778
1,0.82,-1,1,0,0.973934
1,3.41,-1,1,0,0.655826
1,0.82,-1,1,0,0.760529
1,0.82,-1,1,0,0.66708
1,0.25,-1,1,0,0.634415
1,1.32,-1,1,0,0.621271
1,1.75,-1,1,0,0.959862
1,4,-1,0,1,0.667102
1,0.25,-1,1,0,0.695698
1,2.91,-1,0,1,0.691697
1,2.48,-1,1,0,1.387084
1,0.82,-1,1,0,0.658326
1,3.41,-1,0,1,0.615488
1,2.91,-1,0,1,0.66149
1,3.41,-1,0,1,0.616149
1,3.41,-1,1,0,0.779371
1,2.12,-1,1,0,0.906596
1,2.12,-1,0,1,0.605764
1,2.91,-1,0,1,0.685106
1,2.91,-1,0,1,1.057693
1,4,-1,0,1,0.692721
1,0.25,-1,1,0,0.635323
1,4,-1,0,1,0.620547
1,0.82,-1,1,0,1.318004
1,1.75,-1,1,0,0.529252
1,3.41,-1,1,0,0.815175
1,4,-1,0,1,0.677219
1,1.32,-1,1,0,1.435149
1,1.32,-1,1,0,0.783108
1,2.91,-1,0,1,0.653694
1,1.32,-1,1,0,1.060893
1,2.48,-1,0,1,0.654386
1,0.25,-1,1,0,0.598976
1,0.25,-1,1,0,0.542234
1,4,-1,0,1,0.642279
1,1.75,-1,0,1,0.974772
1,1.75,-1,1,0,1.113306
1,2.12,-1,0,1,0.797863
1,2.12,-1,0,1,0.817272
1,0.25,-1,1,0,0.949238
1,4,-1,0,1,0.720477
1,1.32,-1,1,0,0.742318
1,2.91,-1,1,0,1.223043
1,2.91,-1,0,1,0.613663
1,1.32,-1,1,0,0.586359
1,2.48,-1,0,1,0.636536
1,2.48,-1,0,1,0.795545
1,0.25,-1,1,0,0.604114
1,2.48,-1,1,0,0.743965
1,2.12,-1,0,1,0.577851
1,1.75,-1,1,0,0.850517
1,4,-1,0,1,0.695067
