rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,1.32,0,1,0,0.722603
1,3.41,0,0,1,0.595765
1,0.82,0,1,0,0.573131
1,4,0,0,1,0.730985
1,2.12,0,1,0,0.769667
1,2.48,0,1,0,0.534788
1,2.91,0,0,1,0.749203
1,0.25,0,1,0,0.516858
1,3.41,0,0,1,0.680889
1,2.12,0,1,0,0.528145
1,0.82,0,1,0,0.5566
1,1.32,0,1,0,0.681947
1,2.91,0,0,1,0.547986
1,4,0,0,1,0.693109
1,2.48,0,0,1,0.599637
1,0,0,1,0,0.6666
1,2.12,0,1,0,0.567145
1,1.32,0,1,0,0.517545
1,4,0,0,1,1.021525
1,2.91,0,0,1,1.068827
1,0,0,1,0,0.723487
1,0.82,0,1,0,1.109288
1,0.25,0,1,0,0.588388
1,3.41,0,0,1,1.000268
1,2.48,0,1,0,0.652127
1,1.75,0,1,0,0.75071
1,2.12,0,1,0,0.73511
1,4,0,0,1,0.66085
1,0,0,1,0,0.94354
1,0.25,0,1,0,0.708169
1,2.91,0,0,1,0.537934
1,3.41,0,0,1,0.54318
1,0.82,0,1,0,0.589825
1,2.48,0,0,1,0.574978
1,1.75,0,1,0,0.653337
1,0,0,1,0,0.727033
1,4,0,0,1,0.569944
1,2.12,0,0,1,0.910398
1,1.32,0,0,1,0.80062
1,0.82,0,1,0,0.669229
1,3.41,0,0,1,0.553202
1,2.48,0,1,0,0.728462
1,0.25,0,0,1,0.533515
1,2.91,0,0,1,0.519523
1,3.41,0,0,1,0.722748
1,2.12,0,0,1,0.599313
1,2.48,0,0,1,0.526603
1,0.25,0,1,0,0.546261
1,4,0,0,1,0.977577
1,1.32,0,1,0,0.54207
1,0.25,0,1,0,0.521804
1,0.82,0,1,0,0.619137
1,2.12,0,0,1,0.757142
1,2.91,0,0,1,0.718845
1,1.75,0,1,0,0.7914
1,2.48,0,0,1,0.566459
1,4,0,0,1,0.66241
1,1.32,0,1,0,0.547578
1,2.48,0,1,0,0.517536
1,2.91,0,0,1,0.678867
1,3.41,0,0,1,0.572577
1,1.75,0,0,1,0.658649
1,4,0,0,1,0.525171
1,0.25,0,1,0,0.558542
1,4,0,1,0,0.731803
1,1.32,0,1,0,0.71175
1,3.41,0,0,1,0.571492
1,2.12,0,1,0,0.602065
1,1.75,0,1,0,0.545022
1,0.82,0,1,0,0.546237
1,2.48,0,0,1,0.582899
1,2.91,0,0,1,0.829474
1,1.75,0,0,1,0.556218
1,1.32,0,1,0,0.640115
1,3.41,0,0,1,0.600493
1,0,0,1,0,0.607159
1,1.75,0,1,0,0.607833
1,2.91,0,1,0,0.697064
1,3.41,0,0,1,0.562167
1,1.32,0,1,0,0.643516
1,0.25,0,1,0,0.632087
1,2.48,0,0,1,0.927383
1,2.91,0,0,1,0.53786
1,2.48,0,0,1,0.737435
1,1.32,0,0,1,0.534591
1,2.12,0,1,0,0.641196
1,0.82,0,1,0,0.699882
1,4,0,0,1,0.526504
1,4,0,0,1,0.660706
1,3.41,0,0,1,0.517005
1,2.91,0,0,1,0.705349
1,1.32,0,1,0,0.829709
1,0.82,0,1,0,0.728982
1,2.91,0,0,1,0.546182
1,1.32,0,1,0,0.75429
1,2.12,0,1,0,0.594283
1,4,0,0,1,0.522048
1,1.75,0,1,0,0.650561
1,2.48,0,0,1,0.549875
1,1.32,0,1,0,0.530473
1,2.91,0,1,0,0.553188
1,3.41,0,0,1,0.530271
1,0.25,0,1,0,0.56874
1,0.82,0,1,0,0.515884
1,1.32,0,1,0,0.688392
1,0.82,0,1,0,0.556258
1,0.25,0,1,0,0.517525
1,3.41,0,1,0,0.607471
1,4,0,0,1,0.534078
1,0,0,1,0,0.658437
1,1.75,0,0,1,0.514895
1,2.48,0,0,1,0.542839
1,3.41,0,0,1,0.641858
1,1.32,0,1,0,0.645034
1,2.12,0,1,0,0.534847
1,4,0,0,1,0.568647
1,2.91,0,0,1,0.618009
1,0.82,0,1,0,0.521827
1,1.75,0,1,0,0.633796
1,0,0,1,0,0.621103
1,2.48,0,0,1,0.689562
1,4,0,1,0,1.035445
1,0.25,0,1,0,0.518206
1,2.91,0,0,1,0.522587
1,0.82,0,1,0,0.512655
1,1.75,0,1,0,0.655215
1,2.48,0,0,1,0.512014
1,1.75,0,1,0,0.743926
1,3.41,0,0,1,0.636666
1,0.82,0,1,0,0.728259
1,2.91,0,0,1,0.766535
1,0,0,1,0,0.565794
1,4,0,0,1,0.66511
1,2.12,0,0,1,0.670452
1,3.41,0,1,0,0.791488
1,4,0,0,1,0.593503
1,0,0,1,0,0.612748
1,2.91,0,0,1,0.659827
